1,2225,3035,3500
10,6878,7206,7412
20,9676,10446,12531
30,10669,12158,14947
40,11457,13068,16050
50,11599,14641,18350
60,11718,15705,21759
70,11708,16221,20367
80,11948,17355,23116
90,13763,18659,24103
100,17203,22636,26174
110,16787,22192,25795
120,15110,20026,25486
130,17006,21096,24791
140,18258,21836,24436
150,18294,22021,24041
160,19397,22053,23422
170,19183,22199,23423
180,20401,22078,22885
190,19953,21830,22370
200,20140,21530,22674
210,20168,21382,21996
220,19375,21370,23828
230,20365,21083,21450
240,20169,20936,21208
250,18446,20705,21054
260,19803,20607,21012
270,20037,20459,20652
280,20167,20367,20585
290,19994,20196,20364
300,19940,20022,20259
310,19680,20044,20189
320,19976,20104,20232
330,20015,20129,20230
340,19989,20109,20202
350,19896,20069,20172
360,19945,20022,20143
370,19869,20009,20177
380,19877,20003,20140
390,19824,19945,20076
400,19676,19911,20124
410,19783,19973,20119
420,19641,19907,20146
430,19838,19959,20131
440,19627,19962,20099
450,19787,19936,20106
460,19763,19911,20029
470,19805,19951,20116
480,19634,19859,20081
490,19694,19838,19969
500,19722,19848,19959
510,19527,19805,20077
520,19620,19797,19946
530,19678,19793,20041
540,19522,19723,19913
550,19583,19754,20026
560,19444,19675,19883
570,19448,19650,19920
580,19292,19557,19691
590,19232,19497,19760
600,19367,19490,19699
610,19124,19418,19638
620,19085,19348,19577
630,19041,19302,19483
640,19136,19273,19455
650,18968,19184,19302
660,18890,19196,19404
670,18990,19171,19316
680,19004,19140,19379
690,18864,19130,19328
700,19024,19160,19360
710,18877,19133,19349
720,18892,19120,19387
730,18727,19034,19306
740,18801,19035,19294
750,18779,19061,19242
760,18807,19057,19455
770,18858,19028,19349
780,18597,19019,19351
790,18783,19003,19257
800,18650,18967,19203
810,18854,19046,19323
820,18698,18976,19253
830,18639,19014,19330
840,18808,19038,19264
850,18790,18986,19298
860,18745,18920,19218
870,18688,18929,19164
880,18676,18917,19165
890,18543,18925,19140
900,18723,18934,19267
910,18617,18919,19284
920,18667,18914,19158
930,18664,18901,19273
940,18611,18870,19189
950,18668,18903,19510
960,18662,18848,19098
970,18667,18925,19147
980,18513,18829,19162
990,18648,18863,19199
1000,18492,18842,19148
