1,85,1375,3238
10,9949,9968,10011
20,9894,9934,9965
30,9502,9572,9662
40,8991,9023,9063
50,8568,8618,8685
60,8278,8347,8390
70,8130,8182,8258
80,7966,8026,8090
90,7809,7869,7941
100,7828,7882,7936
110,7710,7780,7833
120,7623,7671,7705
130,7684,7744,7788
140,7645,7694,7729
150,7550,7593,7628
160,7619,7665,7707
170,7570,7625,7666
180,7565,7638,7683
190,7520,7616,7662
200,7490,7570,7614
210,7438,7534,7581
220,7483,7519,7558
230,7458,7509,7559
240,7441,7494,7564
250,7385,7446,7505
260,7345,7407,7466
270,7346,7402,7471
280,7327,7378,7427
290,7260,7347,7423
300,7268,7337,7422
310,7233,7299,7392
320,7285,7332,7405
330,7208,7270,7354
340,7161,7270,7352
350,7187,7245,7319
360,7140,7235,7295
370,7097,7168,7260
380,7084,7150,7222
390,7113,7158,7254
400,7090,7154,7235
410,7072,7152,7227
420,7044,7152,7232
430,7040,7153,7249
440,6919,7089,7221
450,7010,7115,7228
460,6994,7148,7338
470,6968,7231,7390
480,6923,7255,7727
490,6566,7256,7914
500,393,6175,7783
510,564,6055,7111
520,254,5698,8083
530,209,5117,7047
540,182,5375,7803
550,198,5648,7476
560,221,5258,7045
570,217,5322,6985
580,234,4618,6859
590,298,4676,6912
600,390,3974,7756
610,320,4215,8045
620,198,3635,7340
630,219,3103,6825
640,163,3692,7767
650,154,4066,7568
660,188,4921,6962
670,165,3694,7013
680,104,3974,6835
690,145,3760,6957
700,119,4602,7529
710,117,3988,6822
720,263,4656,7266
730,194,5069,7945
740,109,3423,7166
750,103,4711,7466
760,107,4549,6863
770,731,5505,7075
780,763,6088,6794
790,106,4409,6851
800,95,4576,6736
810,655,4756,7512
820,112,4090,6701
830,105,4282,7663
840,138,4278,7358
850,114,3922,6832
860,136,3975,6698
870,118,3970,7514
880,129,4158,7175
890,115,3901,6766
900,180,4213,7075
910,131,4468,7550
920,89,4184,6686
930,100,4249,6816
940,113,4422,6522
950,152,4499,6521
960,161,4025,7731
970,89,3698,6577
980,123,4100,6913
990,94,3773,6637
1000,119,3767,6530
